Id_Subgrupo,Media_X,Rango_R,Gran_Media,LCL_X,UCL_X,Rango_Medio,LCL_R,UCL_R,Alarma_X
1,1459.6,143,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
2,1583.6,316,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
3,1664.2,696,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
4,1440.2,326,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
5,1545.0,383,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
6,1663.2,422,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
7,1556.0,459,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
8,1440.2,231,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
9,1388.4,110,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
10,1517.4,431,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
11,1799.4,1478,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,1
12,1508.2,283,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
13,1629.8,436,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
14,1495.2,285,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
15,1587.6,555,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
16,1419.0,82,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
17,1447.8,47,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
18,1538.0,385,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
19,1676.4,380,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
20,1545.6,399,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
21,1657.8,550,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
22,1545.2,176,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
23,1607.0,386,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
24,1553.6,276,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
25,1514.8,417,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
26,1489.6,258,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
27,1490.0,368,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
28,1429.0,443,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
29,1526.2,387,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
30,1498.4,233,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
31,1569.4,428,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
32,1586.0,516,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
33,1437.6,304,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
34,1510.8,415,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
35,1578.6,618,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
36,1545.6,684,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
37,1558.6,482,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
38,1454.2,305,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
39,1779.4,1280,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,1
40,1486.6,156,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
41,1610.2,251,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
42,1488.4,265,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
43,1483.4,245,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
44,1518.4,230,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
45,1540.0,523,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
46,1479.4,300,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
47,1478.4,162,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
48,1546.2,287,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
49,1460.2,438,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
50,1489.6,265,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
51,1523.8,305,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
52,1467.4,284,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
53,1577.8,346,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
54,1634.4,514,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
55,1506.8,226,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
56,1613.8,418,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
57,1598.4,661,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
58,1556.6,420,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
59,1402.0,138,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
60,1704.0,734,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
61,1618.0,261,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
62,1567.2,824,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
63,1412.0,226,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
64,1633.8,202,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
65,1513.0,113,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
66,1599.2,347,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
67,1488.6,256,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
68,1752.4,432,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
69,1662.2,1060,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
70,1560.0,158,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
71,1570.0,274,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
72,1514.4,225,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
73,1520.4,233,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
74,1510.0,234,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
75,1494.8,217,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
76,1573.2,353,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
77,1799.8,1229,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,1
78,1369.0,206,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
79,1463.8,178,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
80,1545.8,382,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
81,1614.0,827,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
82,1456.4,250,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
83,1490.0,200,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
84,1610.4,757,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
85,1441.0,356,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
86,1493.0,457,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
87,1568.0,402,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
88,1482.2,197,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
89,1446.4,193,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
90,1559.0,417,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
91,1496.0,224,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
92,1429.0,210,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
93,1730.2,1472,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
94,1678.6,726,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
95,1482.6,101,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
96,1514.8,510,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
97,1515.8,259,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
98,1532.2,338,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
99,1415.8,144,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
100,1524.0,152,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
101,1525.8,414,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
102,1581.2,478,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
103,1503.4,194,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
104,1757.8,636,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
105,1516.6,219,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
106,1510.6,219,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
107,1599.8,266,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
108,1582.8,410,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
109,1593.2,535,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
110,1603.6,626,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
111,1505.2,424,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
112,1496.4,293,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
113,1553.6,360,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
114,1664.4,394,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
115,1487.2,325,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
116,1534.8,290,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
117,1529.8,457,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
118,1648.8,510,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
119,1460.0,390,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
120,1476.8,286,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
121,1723.8,858,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
122,1550.2,290,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
123,1545.8,189,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
124,1532.2,293,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
125,1591.4,537,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
126,1478.2,210,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
127,1476.4,135,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
128,1569.0,455,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
129,1446.8,382,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
130,1508.8,340,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
131,1640.6,624,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
132,1508.6,367,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
133,1493.0,310,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
134,1573.4,279,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
135,1542.8,389,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
136,1429.2,282,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
137,1582.0,464,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
138,1552.0,381,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
139,1465.2,169,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
140,1542.0,399,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
141,1544.8,204,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
142,1510.4,481,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
143,1528.2,258,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
144,1442.6,221,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
145,1564.4,419,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
146,1555.6,215,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
147,1510.4,619,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
148,1496.4,167,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
149,1483.4,282,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
150,1520.4,689,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
151,1563.8,421,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
152,1533.0,92,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
153,1434.8,360,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
154,1499.0,381,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
155,1422.6,199,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
156,1509.8,284,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
157,1620.8,334,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
158,1550.8,306,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
159,1526.8,310,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
160,1717.4,445,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
161,1566.2,597,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
162,1515.4,455,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
163,1491.8,250,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
164,1404.0,212,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
165,1491.0,111,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
166,1520.2,105,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
167,1529.0,298,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
168,1467.4,197,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
169,1527.6,143,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
170,1747.8,1417,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
171,1453.2,199,1538.7761,1318.9916070000002,1758.560593,380.909,0.0,805.2416259999999,0
